iter	Passed	Remaining
1309	34696	18275
1310	34722	18248
1311	34746	18220
1312	34770	18192
1313	34792	18164
1314	34836	18146
1315	34864	18121
1316	34892	18095
1317	34914	18066
1318	34942	18040
1319	34965	18012
1320	35006	17993
1321	35032	17966
1322	35075	17948
1323	35104	17923
1324	35135	17899
1325	35154	17868
1326	35196	17850
1327	35225	17824
1328	35258	17801
1329	35287	17776
1330	35324	17755
1331	35350	17728
1332	35389	17708
1333	35413	17680
1334	35441	17654
1335	35461	17624
1336	35481	17594
1337	35500	17564
1338	35520	17534
1339	35537	17503
1340	35575	17482
1341	35593	17452
1342	35613	17422
1343	35632	17391
1344	35654	17363
1345	35671	17332
1346	35691	17302
1347	35709	17271
1348	35730	17242
1349	35749	17212
1350	35790	17193
1351	35814	17165
1352	35836	17136
1353	35855	17106
1354	35874	17076
1355	35897	17048
1356	35922	17021
1357	35946	16993
1358	35987	16974
1359	36006	16944
1360	36028	16915
1361	36046	16885
1362	36067	16856
1363	36087	16826
1364	36117	16801
1365	36134	16771
1366	36172	16750
1367	36201	16724
1368	36224	16696
1369	36247	16668
1370	36276	16643
1371	36306	16618
1372	36350	16599
1373	36380	16575
1374	36409	16549
1375	36435	16523
1376	36474	16502
1377	36501	16475
1378	36560	16464
1379	36580	16434
1380	36608	16408
1381	36627	16379
1382	36653	16352
1383	36672	16322
1384	36713	16302
1385	36731	16272
1386	36753	16243
1387	36770	16212
1388	36791	16184
1389	36810	16154
1390	36831	16125
1391	36850	16095
1392	36872	16067
1393	36891	16037
1394	36927	16015
1395	36949	15986
1396	36971	15958
1397	36993	15929
1398	37026	15906
1399	37044	15876
1400	37068	15848
1401	37092	15821
1402	37130	15799
1403	37149	15769
1404	37178	15744
1405	37203	15717
1406	37231	15691
1407	37252	15662
1408	37275	15635
1409	37298	15606
1410	37337	15586
1411	37358	15557
1412	37388	15532
1413	37412	15504
1414	37439	15478
1415	37466	15452
1416	37508	15432
1417	37526	15402
1418	37550	15374
1419	37569	15345
1420	37594	15318
1421	37628	15294
1422	37659	15270
1423	37690	15245
1424	37735	15226
1425	37760	15199
1426	37788	15173
1427	37815	15147
1428	37842	15121
1429	37875	15097
1430	37915	15076
1431	37935	15047
1432	37960	15020
1433	37984	14992
1434	38009	14965
1435	38028	14936
1436	38054	14909
1437	38073	14879
1438	38114	14859
1439	38134	14829
1440	38164	14805
1441	38186	14776
1442	38212	14749
1443	38231	14720
1444	38253	14692
1445	38273	14663
1446	38312	14642
1447	38330	14612
1448	38353	14584
1449	38377	14557
1450	38399	14528
1451	38419	14500
1452	38440	14471
1453	38457	14441
1454	38496	14419
1455	38512	14389
1456	38532	14360
1457	38550	14330
1458	38572	14302
1459	38589	14273
1460	38611	14244
1461	38628	14215
1462	38647	14185
1463	38677	14160
1464	38743	14148
1465	38767	14121
1466	38798	14096
1467	38827	14070
1468	38860	14046
1469	38881	14018
1470	38925	13998
1471	38949	13971
1472	38973	13943
1473	38996	13916
1474	39020	13888
1475	39039	13859
1476	39063	13832
1477	39083	13803
1478	39107	13776
1479	39125	13746
1480	39167	13725
1481	39186	13696
1482	39210	13669
1483	39231	13641
1484	39255	13613
1485	39273	13584
1486	39293	13555
1487	39313	13527
1488	39354	13505
1489	39375	13477
1490	39397	13449
1491	39418	13421
1492	39446	13395
1493	39471	13368
1494	39498	13342
1495	39523	13315
1496	39569	13295
1497	39600	13270
1498	39645	13250
1499	39679	13226
1500	39730	13208
1501	39763	13183
1502	39799	13160
1503	39825	13134
1504	39865	13111
1505	39888	13084
1506	39914	13057
1507	39933	13028
1508	39962	13003
1509	39996	12978
1510	40044	12959
1511	40073	12933
1512	40108	12910
1513	40139	12885
1514	40170	12859
1515	40198	12833
1516	40236	12810
1517	40254	12781
1518	40280	12754
1519	40301	12726
1520	40345	12705
1521	40405	12689
1522	40475	12676
1523	40504	12650
1524	40539	12627
1525	40574	12603
1526	40630	12585
1527	40657	12559
1528	40685	12533
1529	40704	12504
1530	40733	12478
1531	40753	12449
1532	40801	12429
1533	40825	12402
1534	40850	12374
1535	40869	12345
1536	40891	12318
1537	40908	12288
1538	40931	12260
1539	40955	12233
1540	40995	12210
1541	41020	12183
1542	41053	12159
1543	41081	12132
1544	41112	12107
1545	41141	12081
1546	41182	12059
1547	41212	12033
1548	41243	12008
1549	41264	11979
1550	41290	11953
1551	41312	11925
1552	41353	11902
1553	41377	11875
1554	41405	11849
1555	41431	11822
1556	41458	11795
1557	41488	11770
1558	41530	11748
1559	41554	11720
1560	41581	11693
1561	41607	11667
1562	41637	11641
1563	41663	11614
1564	41726	11597
1565	41751	11570
1566	41778	11544
1567	41801	11516
1568	41827	11489
1569	41848	11461
1570	41892	11439
1571	41921	11413
1572	41955	11389
1573	41987	11363
1574	42022	11339
1575	42041	11310
1576	42093	11290
1577	42133	11267
1578	42170	11243
1579	42196	11216
1580	42243	11195
1581	42261	11166
1582	42291	11140
1583	42321	11114
1584	42353	11089
1585	42375	11061
1586	42415	11038
1587	42445	11012
1588	42476	10986
1589	42500	10959
1590	42531	10933
1591	42555	10906
1592	42600	10884
1593	42623	10856
1594	42644	10828
1595	42665	10800
1596	42692	10773
1597	42713	10745
1598	42733	10716
1599	42751	10687
1600	42791	10664
1601	42821	10638
1602	42855	10613
1603	42887	10588
1604	42915	10561
1605	42948	10536
